"country","year","iso_code","continent","net_wgt_kgs","net_wgt_lbs","is_net_wgt_estimated","primary_value_usd","month_abb","month","month_year","nh_season","sh_season"
"South Africa",2010,"ZAF","Africa",360890,795618.09,FALSE,486974.381,"Jan",1,Jan 2010,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"South Africa",2010,"ZAF","Africa",2048,4515.02,FALSE,347266.594,"Feb",2,Feb 2010,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"South Africa",2010,"ZAF","Africa",27869,61440,FALSE,65188.944,"Mar",3,Mar 2010,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"South Africa",2010,"ZAF","Africa",27,59.52,FALSE,12909.728,"Apr",4,Apr 2010,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"South Africa",2010,"ZAF","Africa",2,4.41,FALSE,2875.444,"May",5,May 2010,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"South Africa",2010,"ZAF","Africa",57268,126253.03,FALSE,247169.518,"Jun",6,Jun 2010,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"South Africa",2010,"ZAF","Africa",40104,88413.28,FALSE,186441.29,"Jul",7,Jul 2010,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"South Africa",2010,"ZAF","Africa",2573,5672.44,FALSE,25724.855,"Aug",8,Aug 2010,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"South Africa",2010,"ZAF","Africa",1244,2742.52,FALSE,267846.972,"Sep",9,Sep 2010,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"South Africa",2010,"ZAF","Africa",54798,120807.67,FALSE,635078.174,"Oct",10,Oct 2010,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"South Africa",2010,"ZAF","Africa",226983,500406.72,FALSE,858133.788,"Nov",11,Nov 2010,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"South Africa",2010,"ZAF","Africa",110850,244379.91,FALSE,896112.657,"Dec",12,Dec 2010,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"India",2010,,,,,,,,,,,
"China",2010,,,,,,,,,,,
"Uruguay",2010,,,,,,,,,,,
"South Africa",2011,"ZAF","Africa",155500,342815.3,FALSE,396990.463,"Jan",1,Jan 2011,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"South Africa",2011,"ZAF","Africa",43637,96202.13,FALSE,647355.676,"Feb",2,Feb 2011,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"South Africa",2011,"ZAF","Africa",57003,125668.81,FALSE,1092257.705,"Mar",3,Mar 2011,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"South Africa",2011,"ZAF","Africa",55398,122130.43,FALSE,249586.035,"Apr",4,Apr 2011,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"South Africa",2011,"ZAF","Africa",252,555.56,FALSE,70142.778,"May",5,May 2011,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"South Africa",2011,"ZAF","Africa",439,967.82,FALSE,242156.55,"Jun",6,Jun 2011,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"South Africa",2011,"ZAF","Africa",19926,43928.86,FALSE,168775.949,"Jul",7,Jul 2011,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"South Africa",2011,"ZAF","Africa",105,231.48,FALSE,70932.028,"Aug",8,Aug 2011,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"South Africa",2011,"ZAF","Africa",26596,58633.54,FALSE,198965.162,"Sep",9,Sep 2011,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"South Africa",2011,"ZAF","Africa",477605,1052927.98,FALSE,843097.518,"Oct",10,Oct 2011,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"South Africa",2011,"ZAF","Africa",542808,1196674.52,FALSE,1059771.446,"Nov",11,Nov 2011,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"South Africa",2011,"ZAF","Africa",669999,1477079.8,FALSE,770578.667,"Dec",12,Dec 2011,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"India",2011,"IND","Asia",25143,55430.26,FALSE,176907.61,"Mar",3,Mar 2011,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2011,"IND","Asia",32565,71792.8,FALSE,171571.286,"Apr",4,Apr 2011,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2011,"IND","Asia",9570,21098.02,FALSE,180286.729,"May",5,May 2011,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"India",2011,"IND","Asia",46752,103069.46,FALSE,206087.011,"Jun",6,Jun 2011,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"India",2011,"IND","Asia",125869,277490.8,FALSE,1301501.82,"Jul",7,Jul 2011,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"China",2011,,,,,,,,,,,
"Uruguay",2011,,,,,,,,,,,
"South Africa",2012,"ZAF","Africa",567591,1251311.12,FALSE,1268574.417,"Jan",1,Jan 2012,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"South Africa",2012,"ZAF","Africa",286076,630683.15,FALSE,1322156.565,"Feb",2,Feb 2012,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"South Africa",2012,"ZAF","Africa",37988,83748.34,FALSE,1199969.764,"Mar",3,Mar 2012,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"South Africa",2012,"ZAF","Africa",568,1252.21,FALSE,105331.833,"Apr",4,Apr 2012,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"South Africa",2012,"ZAF","Africa",1610.1,3549.63,FALSE,82796.722,"May",5,May 2012,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"South Africa",2012,"ZAF","Africa",7,15.43,FALSE,257.565,"May",5,May 2012,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"South Africa",2012,"ZAF","Africa",77869.81,171671.78,FALSE,50664.799,"Jun",6,Jun 2012,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"South Africa",2012,"ZAF","Africa",94617.2,208593.08,FALSE,106662.886,"Jul",7,Jul 2012,"Northern Hemisphere Summer","Southern Hemisphere Winter"
