"iso_code","country","continent","net_wgt_kgs","net_wgt_lbs","is_net_wgt_estimated","primary_value_usd","month_abb","month","year","month_year","nh_season","sh_season"
"ZAF","South Africa","Africa",360890,795618.09,FALSE,486974.381,"Jan",1,2010,Jan 2010,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",2048,4515.02,FALSE,347266.594,"Feb",2,2010,Feb 2010,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",27869,61440,FALSE,65188.944,"Mar",3,2010,Mar 2010,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",27,59.52,FALSE,12909.728,"Apr",4,2010,Apr 2010,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",2,4.41,FALSE,2875.444,"May",5,2010,May 2010,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",57268,126253.03,FALSE,247169.518,"Jun",6,2010,Jun 2010,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",40104,88413.28,FALSE,186441.29,"Jul",7,2010,Jul 2010,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",2573,5672.44,FALSE,25724.855,"Aug",8,2010,Aug 2010,"Northern Hemisphere Summer","Southern Hemisphere Winter"
"ZAF","South Africa","Africa",1244,2742.52,FALSE,267846.972,"Sep",9,2010,Sep 2010,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",54798,120807.67,FALSE,635078.174,"Oct",10,2010,Oct 2010,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",226983,500406.72,FALSE,858133.788,"Nov",11,2010,Nov 2010,"Northern Hemisphere Fall","Southern Hemisphere Spring"
"ZAF","South Africa","Africa",110850,244379.91,FALSE,896112.657,"Dec",12,2010,Dec 2010,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",155500,342815.3,FALSE,396990.463,"Jan",1,2011,Jan 2011,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"ZAF","South Africa","Africa",43637,96202.13,FALSE,647355.676,"Feb",2,2011,Feb 2011,"Northern Hemisphere Winter","Southern Hemisphere Summer"
"IND","India","Asia",25143,55430.26,FALSE,176907.61,"Mar",3,2011,Mar 2011,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",57003,125668.81,FALSE,1092257.705,"Mar",3,2011,Mar 2011,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"IND","India","Asia",32565,71792.8,FALSE,171571.286,"Apr",4,2011,Apr 2011,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",55398,122130.43,FALSE,249586.035,"Apr",4,2011,Apr 2011,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"IND","India","Asia",9570,21098.02,FALSE,180286.729,"May",5,2011,May 2011,"Northern Hemisphere Spring","Southern Hemisphere Fall"
"ZAF","South Africa","Africa",252,555.56,FALSE,70142.778,"May",5,2011,May 2011,"Northern Hemisphere Spring","Southern Hemisphere Fall"
